date,qqq_close,tqqq_close,sma100,sma200,position,shares,cash,portfolio_value,portfolio_return_pct,daily_return_pct,drawdown_pct,trade_executed
2023-02-13,298.73,11.98,273.98,284.34,1,35248.5121,0.0,422174.13,4121.74%,4.74%,-30.68%,0
2023-02-14,300.94,12.24,274.22,284.25,1,35248.5121,0.0,431311.32,4213.11%,2.16%,-29.18%,0
2023-02-15,303.24,12.51,274.51,284.24,1,35248.5121,0.0,440956.14,4309.56%,2.24%,-27.59%,0
2023-02-16,297.55,11.79,274.79,284.17,1,35248.5121,0.0,415744.2,4057.44%,-5.72%,-31.73%,0
2023-02-17,295.45,11.54,275.06,284.1,1,35248.5121,0.0,406776.13,3967.76%,-2.16%,-33.21%,0
2023-02-21,288.46,10.73,275.26,283.93,1,35248.5121,0.0,378179.98,3681.80%,-7.03%,-37.90%,0
2023-02-22,288.67,10.74,275.4,283.85,1,35248.5121,0.0,378518.45,3685.18%,0.09%,-37.85%,0
2023-02-23,291.2,11.01,275.65,283.8,1,35248.5121,0.0,387994.09,3779.94%,2.50%,-36.29%,0
2023-02-24,286.32,10.45,275.9,283.78,1,35248.5121,0.0,368365.84,3583.66%,-5.06%,-39.51%,0
2023-02-27,288.37,10.68,276.11,283.76,1,35248.5121,0.0,376318.72,3663.19%,2.16%,-38.21%,0
2023-02-28,288.0,10.62,276.23,283.77,1,35248.5121,0.0,374457.39,3644.57%,-0.49%,-38.51%,0
2023-03-01,285.68,10.36,276.32,283.78,1,35248.5121,0.0,365320.2,3553.20%,-2.44%,-40.01%,0
2023-03-02,288.05,10.61,276.47,283.75,1,35248.5121,0.0,374119.01,3641.19%,2.41%,-38.57%,0
2023-03-03,294.0,11.26,276.77,283.77,1,35248.5121,0.0,396962.12,3869.62%,6.11%,-34.82%,0
2023-03-06,294.34,11.31,277.11,283.74,1,35248.5121,0.0,398654.1,3886.54%,0.43%,-34.54%,0
2023-03-07,290.73,10.89,277.44,283.78,1,35248.5121,0.0,383763.93,3737.64%,-3.74%,-36.98%,0
2023-03-08,292.18,11.04,277.8,283.83,1,35248.5121,0.0,389009.31,3790.09%,1.37%,-36.12%,0
2023-03-09,287.11,10.46,278.04,283.86,1,35248.5121,0.0,368535.16,3585.35%,-5.26%,-39.48%,0
2023-03-10,283.08,10.02,278.31,283.84,0,0.0,353306.42,353306.42,3433.06%,-4.13%,-41.99%,1
2023-03-13,285.18,10.24,278.53,283.87,1,34504.8751,0.0,353306.42,3433.06%,0.00%,-41.99%,1
2023-03-14,291.74,10.94,278.79,283.9,1,34504.8751,0.0,377323.99,3673.24%,6.80%,-38.04%,0
2023-03-15,293.27,11.09,279.08,283.91,1,34504.8751,0.0,382790.04,3727.90%,1.45%,-37.14%,0
2023-03-16,301.0,11.97,279.45,283.91,1,34504.8751,0.0,413101.85,4031.02%,7.92%,-32.17%,0
2023-03-17,299.57,11.79,279.75,283.9,1,34504.8751,0.0,406973.26,3969.73%,-1.48%,-33.17%,0
2023-03-20,300.64,11.92,280.03,283.92,1,34504.8751,0.0,411279.85,4012.80%,1.06%,-32.47%,0
2023-03-21,304.93,12.42,280.3,283.91,1,34504.8751,0.0,428671.84,4186.72%,4.23%,-29.61%,0
2023-03-22,300.78,11.92,280.59,283.92,1,34504.8751,0.0,411178.47,4011.78%,-4.08%,-32.48%,0
2023-03-23,304.35,12.34,280.96,283.94,1,34504.8751,0.0,425839.56,4158.40%,3.57%,-30.08%,0
2023-03-24,305.47,12.47,281.26,283.96,1,34504.8751,0.0,430171.22,4201.71%,1.02%,-29.36%,0
2023-03-27,303.38,12.21,281.58,283.98,1,34504.8751,0.0,421341.25,4113.41%,-2.05%,-30.81%,0
2023-03-28,301.77,12.01,281.9,284.03,1,34504.8751,0.0,414343.9,4043.44%,-1.66%,-31.96%,0
2023-03-29,307.27,12.66,282.38,284.15,1,34504.8751,0.0,437002.04,4270.02%,5.47%,-28.24%,0
2023-03-30,310.18,13.01,282.93,284.36,1,34504.8751,0.0,448830.91,4388.31%,2.71%,-26.30%,0
2023-03-31,315.34,13.65,283.49,284.59,1,34504.8751,0.0,470822.66,4608.23%,4.90%,-22.69%,0
2023-04-03,314.57,13.55,284.02,284.79,1,34504.8751,0.0,467490.59,4574.91%,-0.71%,-23.24%,0
2023-04-04,313.51,13.41,284.51,285.03,1,34504.8751,0.0,462825.67,4528.26%,-1.00%,-24.00%,0
2023-04-05,310.41,12.98,285.04,285.24,1,34504.8751,0.0,447997.88,4379.98%,-3.20%,-26.44%,0
2023-04-06,312.51,13.24,285.4,285.43,1,34504.8751,0.0,456994.46,4469.94%,2.01%,-24.96%,0
2023-04-10,312.33,13.22,285.7,285.62,1,34504.8751,0.0,455994.93,4459.95%,-0.22%,-25.12%,0
2023-04-11,310.33,12.96,286.01,285.78,1,34504.8751,0.0,447164.92,4371.65%,-1.94%,-26.57%,0
2023-04-12,307.58,12.62,286.26,285.88,1,34504.8751,0.0,435336.02,4253.36%,-2.65%,-28.52%,0
2023-04-13,313.61,13.34,286.6,286.02,1,34504.8751,0.0,460326.56,4503.27%,5.74%,-24.41%,0
2023-04-14,313.02,13.26,286.94,286.2,1,34504.8751,0.0,457660.85,4476.61%,-0.58%,-24.85%,0
2023-04-17,313.28,13.28,287.29,286.38,1,34504.8751,0.0,458160.76,4481.61%,0.11%,-24.77%,0
2023-04-18,313.3,13.29,287.66,286.58,1,34504.8751,0.0,458493.97,4484.94%,0.07%,-24.71%,0
2023-04-19,313.16,13.26,287.99,286.77,1,34504.8751,0.0,457494.34,4474.94%,-0.22%,-24.88%,0
2023-04-20,310.77,12.95,288.28,286.92,1,34504.8751,0.0,446831.64,4368.32%,-2.33%,-26.63%,0
2023-04-21,311.09,12.97,288.58,287.07,1,34504.8751,0.0,447664.67,4376.65%,0.19%,-26.49%,0
2023-04-24,310.44,12.9,288.92,287.18,1,34504.8751,0.0,444999.02,4349.99%,-0.60%,-26.93%,0
2023-04-25,304.59,12.17,289.22,287.26,1,34504.8751,0.0,419841.8,4098.42%,-5.65%,-31.06%,0
2023-04-26,306.43,12.37,289.41,287.38,1,34504.8751,0.0,426839.22,4168.39%,1.67%,-29.91%,0
2023-04-27,314.77,13.37,289.68,287.55,1,34504.8751,0.0,461326.19,4513.26%,8.08%,-24.25%,0
2023-04-28,316.94,13.64,289.99,287.74,1,34504.8751,0.0,470655.99,4606.56%,2.02%,-22.72%,0
2023-05-01,316.57,13.6,290.34,287.92,1,34504.8751,0.0,469323.21,4593.23%,-0.28%,-22.93%,0
2023-05-02,313.81,13.24,290.72,288.07,1,34504.8751,0.0,456827.95,4468.28%,-2.66%,-24.99%,0
2023-05-03,311.76,12.98,291.09,288.21,1,34504.8751,0.0,447831.24,4378.31%,-1.97%,-26.46%,0
2023-05-04,310.66,12.83,291.42,288.31,1,34504.8751,0.0,442833.15,4328.33%,-1.12%,-27.28%,0
2023-05-05,317.26,13.62,291.83,288.42,1,34504.8751,0.0,469989.56,4599.90%,6.13%,-22.83%,0
2023-05-08,318.05,13.73,292.22,288.5,1,34504.8751,0.0,473821.48,4638.21%,0.82%,-22.20%,0
2023-05-09,316.03,13.47,292.55,288.61,1,34504.8751,0.0,464658.3,4546.58%,-1.93%,-23.70%,0
2023-05-10,319.47,13.9,292.94,288.74,1,34504.8751,0.0,479652.66,4696.53%,3.23%,-21.24%,0
2023-05-11,320.51,14.02,293.44,288.9,1,34504.8751,0.0,483651.09,4736.51%,0.83%,-20.58%,0
2023-05-12,319.37,13.87,293.95,289.0,1,34504.8751,0.0,478653.03,4686.53%,-1.03%,-21.40%,0
2023-05-15,321.09,14.08,294.51,289.09,1,34504.8751,0.0,485983.59,4759.84%,1.53%,-20.20%,0
2023-05-16,321.46,14.14,295.08,289.16,1,34504.8751,0.0,487816.25,4778.16%,0.38%,-19.90%,0
2023-05-17,325.35,14.64,295.65,289.25,1,34504.8751,0.0,505309.66,4953.10%,3.59%,-17.03%,0
2023-05-18,331.39,15.43,296.35,289.37,1,34504.8751,0.0,532466.08,5224.66%,5.37%,-12.57%,0
2023-05-19,330.65,15.33,297.04,289.45,1,34504.8751,0.0,528800.79,5188.01%,-0.69%,-13.17%,0
2023-05-22,331.76,15.48,297.77,289.52,1,34504.8751,0.0,534298.73,5242.99%,1.04%,-12.27%,0
2023-05-23,327.55,14.89,298.49,289.59,1,34504.8751,0.0,513639.79,5036.40%,-3.87%,-15.66%,0
2023-05-24,325.87,14.64,299.14,289.65,1,34504.8751,0.0,505309.66,4953.10%,-1.62%,-17.03%,0
2023-05-25,333.8,15.7,299.86,289.77,1,34504.8751,0.0,541795.83,5317.96%,7.22%,-11.03%,0
2023-05-26,342.33,16.89,300.69,289.89,1,34504.8751,0.0,582780.41,5727.80%,7.56%,-4.30%,0
2023-05-30,343.88,17.13,301.52,290.02,1,34504.8751,0.0,590944.09,5809.44%,1.40%,-2.96%,0
2023-05-31,341.92,16.78,302.37,290.12,1,34504.8751,0.0,578948.52,5689.49%,-2.03%,-4.93%,0
2023-06-01,345.87,17.39,303.2,290.22,1,34504.8751,0.0,599940.58,5899.41%,3.63%,-1.49%,0
2023-06-02,348.47,17.78,304.03,290.34,1,34504.8751,0.0,613435.63,6034.36%,2.25%,0.00%,0
2023-06-05,348.71,17.82,304.84,290.48,1,34504.8751,0.0,614768.54,6047.69%,0.22%,0.00%,0
2023-06-06,348.66,17.8,305.6,290.62,1,34504.8751,0.0,614101.98,6041.02%,-0.11%,-0.11%,0
2023-06-07,342.74,16.89,306.29,290.75,1,34504.8751,0.0,582780.41,5727.80%,-5.10%,-5.20%,0
2023-06-08,347.0,17.47,307.0,290.95,1,34504.8751,0.0,602772.96,5927.73%,3.43%,-1.95%,0
