date,qqq_close,sma100,sma190,buy_signal,sell_signal,target_position
2010-06-24,45.35,46.71,45.34,0,0,1
2010-06-25,45.27,46.72,45.35,0,1,0
2010-06-28,45.11,46.74,45.37,0,1,0
2010-06-29,43.37,46.74,45.38,0,1,0
2010-06-30,42.71,46.74,45.38,0,1,0
2010-07-01,42.59,46.74,45.38,0,1,0
2010-07-02,42.47,46.73,45.38,0,1,0
2010-07-06,42.6,46.73,45.39,0,1,0
2010-07-07,43.96,46.73,45.41,0,1,0
2010-07-08,44.2,46.74,45.42,0,1,0
2010-07-09,44.62,46.74,45.43,0,1,0
2010-07-12,44.75,46.74,45.45,0,1,0
2010-07-13,45.33,46.75,45.47,0,1,0
2010-07-14,45.56,46.75,45.48,0,0,0
2010-07-15,45.6,46.76,45.5,0,0,0
2010-07-16,44.34,46.76,45.51,0,1,0
2010-07-19,44.72,46.76,45.51,0,1,0
2010-07-20,45.26,46.77,45.53,0,1,0
2010-07-21,44.64,46.77,45.54,0,1,0
2010-07-22,45.77,46.77,45.55,0,0,0
2010-07-23,46.06,46.78,45.56,0,0,0
2010-07-26,46.44,46.79,45.58,0,0,0
2010-07-27,46.42,46.79,45.6,0,0,0
2010-07-28,46.05,46.79,45.61,0,0,0
2010-07-29,45.71,46.78,45.63,0,0,0
2010-07-30,45.81,46.77,45.65,0,0,0
2010-08-02,46.67,46.77,45.67,0,0,0
2010-08-03,46.47,46.76,45.7,0,0,0
2010-08-04,46.94,46.75,45.73,1,0,1
2010-08-05,46.83,46.75,45.76,1,0,1
2010-08-06,46.76,46.74,45.79,1,0,1
2010-08-09,47.08,46.74,45.82,1,0,1
2010-08-10,46.67,46.72,45.84,0,0,1
2010-08-11,45.4,46.7,45.86,0,1,0
2010-08-12,45.04,46.67,45.86,0,1,0
2010-08-13,44.72,46.64,45.87,0,1,0
2010-08-16,44.8,46.61,45.87,0,1,0
2010-08-17,45.37,46.58,45.88,0,1,0
2010-08-18,45.55,46.56,45.89,0,1,0
2010-08-19,44.86,46.52,45.89,0,1,0
2010-08-20,44.92,46.49,45.89,0,1,0
2010-08-23,44.48,46.45,45.9,0,1,0
2010-08-24,43.65,46.41,45.9,0,1,0
2010-08-25,44.07,46.36,45.9,0,1,0
2010-08-26,43.54,46.31,45.9,0,1,0
2010-08-27,44.07,46.26,45.9,0,1,0
2010-08-30,43.61,46.21,45.89,0,1,0
2010-08-31,43.46,46.16,45.89,0,1,0
2010-09-01,44.76,46.11,45.9,0,1,0
2010-09-02,45.26,46.07,45.91,0,1,0
2010-09-03,46.01,46.03,45.92,0,0,0
2010-09-07,45.7,45.99,45.93,0,1,0
2010-09-08,46.25,45.96,45.94,1,0,1
2010-09-09,46.43,45.93,45.95,1,0,1
2010-09-10,46.6,45.89,45.97,1,0,1
2010-09-13,47.25,45.87,45.98,1,0,1
2010-09-14,47.45,45.84,46.0,1,0,1
2010-09-15,47.75,45.81,46.02,1,0,1
2010-09-16,47.94,45.79,46.04,1,0,1
2010-09-17,47.99,45.77,46.06,1,0,1
2010-09-20,48.83,45.77,46.08,1,0,1
2010-09-21,48.82,45.75,46.1,1,0,1
2010-09-22,48.69,45.75,46.13,1,0,1
2010-09-23,48.67,45.73,46.15,1,0,1
2010-09-24,49.66,45.75,46.17,1,0,1
2010-09-27,49.39,45.76,46.19,1,0,1
2010-09-28,49.37,45.79,46.21,1,0,1
2010-09-29,49.29,45.83,46.22,1,0,1
2010-09-30,49.07,45.84,46.24,1,0,1
2010-10-01,49.01,45.85,46.26,1,0,1
2010-10-04,48.48,45.85,46.27,1,0,1
2010-10-05,49.66,45.87,46.29,1,0,1
2010-10-06,49.23,45.89,46.3,1,0,1
2010-10-07,49.41,45.91,46.32,1,0,1
2010-10-08,49.75,45.95,46.34,1,0,1
2010-10-11,49.77,45.98,46.35,1,0,1
2010-10-12,50.11,46.04,46.37,1,0,1
2010-10-13,50.52,46.1,46.4,1,0,1
2010-10-14,50.42,46.16,46.42,1,0,1
2010-10-15,51.49,46.22,46.45,1,0,1
2010-10-18,51.3,46.3,46.48,1,0,1
2010-10-19,50.82,46.35,46.5,1,0,1
2010-10-20,51.19,46.4,46.53,1,0,1
2010-10-21,51.29,46.46,46.56,1,0,1
2010-10-22,51.64,46.52,46.6,1,0,1
2010-10-25,51.89,46.57,46.64,1,0,1
2010-10-26,52.03,46.64,46.68,1,0,1
2010-10-27,52.19,46.72,46.72,1,0,1
2010-10-28,52.3,46.8,46.76,1,0,1
2010-10-29,52.18,46.88,46.81,1,0,1
2010-11-01,52.22,46.95,46.86,1,0,1
2010-11-02,52.78,47.03,46.91,1,0,1
2010-11-03,53.02,47.1,46.95,1,0,1
2010-11-04,53.67,47.17,47.01,1,0,1
2010-11-05,53.67,47.24,47.07,1,0,1
2010-11-08,53.74,47.31,47.13,1,0,1
2010-11-09,53.45,47.37,47.18,1,0,1
2010-11-10,53.72,47.44,47.24,1,0,1
2010-11-11,53.38,47.51,47.29,1,0,1
2010-11-12,52.51,47.58,47.33,1,0,1
2010-11-15,52.31,47.65,47.38,1,0,1
2010-11-16,51.45,47.71,47.41,1,0,1
2010-11-17,51.6,47.77,47.45,1,0,1
2010-11-18,52.43,47.86,47.49,1,0,1
2010-11-19,52.47,47.96,47.53,1,0,1
2010-11-22,52.91,48.06,47.58,1,0,1
2010-11-23,52.07,48.16,47.61,1,0,1
2010-11-24,53.12,48.27,47.66,1,0,1
2010-11-26,52.77,48.35,47.7,1,0,1
2010-11-29,52.73,48.44,47.74,1,0,1
2010-11-30,52.09,48.51,47.77,1,0,1
2010-12-01,53.19,48.6,47.81,1,0,1
2010-12-02,53.73,48.68,47.86,1,0,1
2010-12-03,53.87,48.77,47.9,1,0,1
2010-12-06,53.85,48.85,47.93,1,0,1
2010-12-07,53.88,48.94,47.97,1,0,1
2010-12-08,54.08,49.04,48.01,1,0,1
2010-12-09,54.13,49.13,48.04,1,0,1
2010-12-10,54.49,49.22,48.08,1,0,1
2010-12-13,54.3,49.31,48.12,1,0,1
2010-12-14,54.4,49.39,48.15,1,0,1
2010-12-15,54.16,49.47,48.19,1,0,1
2010-12-16,54.58,49.55,48.22,1,0,1
2010-12-17,54.52,49.64,48.26,1,0,1
2010-12-20,54.56,49.72,48.3,1,0,1
2010-12-21,54.89,49.82,48.33,1,0,1
2010-12-22,54.88,49.9,48.37,1,0,1
2010-12-23,54.74,49.98,48.4,1,0,1
2010-12-27,54.77,50.06,48.44,1,0,1
2010-12-28,54.67,50.14,48.47,1,0,1
2010-12-29,54.79,50.22,48.51,1,0,1
2010-12-30,54.66,50.29,48.54,1,0,1
2010-12-31,54.46,50.37,48.57,1,0,1
2011-01-03,55.31,50.47,48.61,1,0,1
2011-01-04,55.27,50.57,48.64,1,0,1
2011-01-05,55.74,50.68,48.68,1,0,1
2011-01-06,55.92,50.79,48.72,1,0,1
2011-01-07,55.87,50.9,48.75,1,0,1
2011-01-10,56.08,51.0,48.79,1,0,1
2011-01-11,56.16,51.12,48.83,1,0,1
2011-01-12,56.56,51.23,48.86,1,0,1
2011-01-13,56.58,51.35,48.9,1,0,1
2011-01-14,57.0,51.49,48.94,1,0,1
2011-01-18,57.16,51.62,48.98,1,0,1
2011-01-19,56.51,51.75,49.01,1,0,1
2011-01-20,56.11,51.87,49.04,1,0,1
2011-01-21,55.68,51.99,49.07,1,0,1
2011-01-24,56.45,52.12,49.1,1,0,1
2011-01-25,56.53,52.24,49.13,1,0,1
2011-01-26,56.83,52.35,49.17,1,0,1
2011-01-27,57.18,52.46,49.22,1,0,1
2011-01-28,55.73,52.57,49.24,1,0,1
2011-01-31,56.0,52.66,49.28,1,0,1
2011-02-01,57.05,52.77,49.32,1,0,1
2011-02-02,56.96,52.87,49.36,1,0,1
2011-02-03,57.06,52.97,49.41,1,0,1
2011-02-04,57.38,53.07,49.47,1,0,1
2011-02-07,57.65,53.17,49.53,1,0,1
2011-02-08,58.03,53.27,49.58,1,0,1
2011-02-09,57.93,53.37,49.64,1,0,1
2011-02-10,58.02,53.46,49.69,1,0,1
2011-02-11,58.44,53.56,49.74,1,0,1
2011-02-14,58.58,53.66,49.8,1,0,1
2011-02-15,58.5,53.75,49.86,1,0,1
2011-02-16,58.88,53.85,49.93,1,0,1
2011-02-17,58.86,53.94,50.0,1,0,1
2011-02-18,58.73,54.03,50.07,1,0,1
2011-02-22,57.03,54.11,50.14,1,0,1
2011-02-23,56.56,54.19,50.2,1,0,1
2011-02-24,56.86,54.27,50.26,1,0,1
2011-02-25,57.65,54.36,50.33,1,0,1
2011-02-28,57.77,54.44,50.4,1,0,1
2011-03-01,56.84,54.51,50.46,1,0,1
2011-03-02,57.14,54.59,50.52,1,0,1
2011-03-03,58.27,54.68,50.58,1,0,1
2011-03-04,57.97,54.76,50.64,1,0,1
2011-03-07,57.19,54.83,50.71,1,0,1
2011-03-08,57.42,54.9,50.78,1,0,1
2011-03-09,57.03,54.97,50.84,1,0,1
2011-03-10,56.14,55.01,50.91,1,0,1
2011-03-11,56.49,55.06,50.97,1,0,1
2011-03-14,56.29,55.12,51.02,1,0,1
2011-03-15,55.49,55.16,51.08,1,0,1
2011-03-16,54.15,55.19,51.12,0,0,1
2011-03-17,54.65,55.22,51.16,0,0,1
2011-03-18,54.45,55.25,51.2,0,0,1
2011-03-21,55.5,55.28,51.24,1,0,1
2011-03-22,55.4,55.31,51.29,1,0,1
2011-03-23,55.71,55.35,51.34,1,0,1
2011-03-24,56.7,55.39,51.39,1,0,1
2011-03-25,56.84,55.44,51.45,1,0,1
2011-03-28,56.53,55.48,51.51,1,0,1
2011-03-29,57.08,55.52,51.58,1,0,1
2011-03-30,57.35,55.55,51.65,1,0,1
2011-03-31,57.43,55.59,51.73,1,0,1
2011-04-01,57.46,55.63,51.81,1,0,1
2011-04-04,57.27,55.67,51.88,1,0,1
2011-04-05,57.12,55.7,51.96,1,0,1
2011-04-06,57.26,55.74,52.03,1,0,1
2011-04-07,57.22,55.79,52.1,1,0,1
2011-04-08,56.95,55.83,52.16,1,0,1
2011-04-11,56.76,55.89,52.23,1,0,1
2011-04-12,56.37,55.93,52.28,1,0,1
